title,year,productionStudio
10 Things I Hate About You,1999,Via Disney
101 Dalmatians,1996,Via Disney
A Bug's Life,1998,Via Disney/Pixar
Aladdin,1992,Via Disney
Alice in Wonderland,1951,Via Disney
An Extremely Goofy Movie,2000,Via Disney
Atlantis: The Lost Empire,2001,Via Disney
Avatar,2009,Via Disney
Babes in Toyland,1961,Via Disney
Bambi,1942,Via Disney
Beauty and the Beast,1991,Via Disney
Bedknobs and Broomsticks,1971,Via Disney
Big Hero 6,2014,Via Disney
Brave,2012,Via Disney/Pixar
Cadet Kelly,2002,Via Disney
Camp Rock,2008,Via Disney
Cars,2006,Via Disney/Pixar
Cars 2,2011,Via Disney/Pixar
Cars 3,2017,Via Disney/Pixar
Cinderella,2015,Via Disney
Coco,2017,Via Disney/Pixar
Cool Runnings,1993,Via Disney
D2: The Mighty Ducks,1994,Via Disney
Dr. Dolittle,1998,Via Disney
DuckTales the Movie: Treasure of the Lost Lamp,1990,Via Disney
Dumbo,2019,Via Disney
Fantasia,1940,Via Disney
Finding Dory,2016,Via Disney/Pixar
Finding Nemo,2003,Via Disney/Pixar
Flubber,1997,Via Disney
Freaky Friday,2003,Via Disney
Frozen,2013,Via Disney
George of the Jungle,1997,Via Disney
Halloweentown,1998,Via Disney
Hannah Montana: The Movie,2009,Via Disney
Hercules,1997,Via Disney
High School Musical,2006,Via Disney
Hocus Pocus,1993,Via Disney
Holes,2003,Via Disney
Home Alone,1990,Via Disney
Incredibles 2,2018,Via Disney/Pixar
Inside Out,2015,Via Disney/Pixar
James and the Giant Peach,1996,Via Disney
Johnny Tsunami,1999,Via Disney
Lady and the Tramp,1955,Via Disney
Life-Size,2000,Via Disney
Lilo & Stitch,2002,Via Disney
Luca,2021,Via Disney/Pixar
Maleficent,2014,Via Disney
Mary Poppins,1964,Via Disney
Moana,2016,Via Disney
Monsters University,2013,Via Disney/Pixar
"Monsters, Inc.",2001,Via Disney/Pixar
Mulan,1998,Via Disney
National Treasure,2004,Via Disney
Oliver & Company,1988,Via Disney
Onward,2020,Via Disney/Pixar
Peter Pan,1953,Via Disney
Pinocchio,1940,Via Disney
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Via Disney
Pocahontas,1995,Via Disney
Ratatouille,2007,Via Disney/Pixar
Remember the Titans,2000,Via Disney
Robin Hood,1973,Via Disney
Saving Mr. Banks,2013,Via Disney
Sister Act 2: Back in the Habit,1993,Via Disney
Sleeping Beauty,1959,Via Disney
Snow Dogs,2002,Via Disney
Snow White and the Seven Dwarfs,1937,Via Disney
Soul,2020,Via Disney/Pixar
Tangled,2010,Via Disney
Tarzan,1999,Via Disney
The Aristocats,1970,Via Disney
The BFG,2016,Via Disney
The Brave Little Toaster,1987,Via Disney
The Cheetah Girls,2003,Via Disney
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Via Disney
The Color of Friendship,2000,Via Disney
The Emperor's New Groove,2000,Via Disney
The Fox and the Hound,1981,Via Disney
The Good Dinosaur,2015,Via Disney/Pixar
The Hunchback of Notre Dame,1996,Via Disney
The Incredibles,2004,Via Disney/Pixar
The Jungle Book,1967,Via Disney
The Lion King,1994,Via Disney
The Little Mermaid,1989,Via Disney
The Many Adventures of Winnie the Pooh,1977,Via Disney
The Muppet Movie,1979,Via Disney
The Nightmare Before Christmas,1993,Via Disney
The Parent Trap,1998,Via Disney
The Princess and the Frog,2009,Via Disney
The Princess Diaries,2001,Via Disney
The Rescuers,1977,Via Disney
The Sandlot,1993,Via Disney
The Santa Clause,1994,Via Disney
The Simpsons Movie,2007,Via Disney
The Sword in the Stone,1963,Via Disney
Toy Story,1995,Via Disney/Pixar
Toy Story 2,1999,Via Disney/Pixar
Toy Story 3,2010,Via Disney/Pixar
Toy Story 4,2019,Via Disney/Pixar
Tuck Everlasting,2002,Via Disney
Twitches,2005,Via Disney
Up,2009,Via Disney/Pixar
WALL-E,2008,Via Disney/Pixar
Who Framed Roger Rabbit,1988,Via Disney
Zenon: Girl of the 21st Century,1999,Via Disney
Zootopia,2016,Via Disney
